t_s,x_m,y_m
7.384,0.022152,-0.002980833931560027
7.386,0.022158,-0.0029713842770899565
7.388,0.022164,-0.0029600578326236084
7.390000000000001,0.022170000000000002,-0.0029468617521860637
7.392,0.022176,-0.0029318043707045787
7.394,0.022182,-0.002914895198744021
7.396,0.022188,-0.002896144916499822
7.398000000000001,0.022194000000000002,-0.0028755653670521296
7.4,0.0222,-0.002853169548885464
7.402,0.022206,-0.0028289716076785984
7.404,0.022212,-0.0028029868273698436
7.406000000000001,0.022218,-0.0027752316205033674
7.408,0.022224,-0.0027457235178627477
7.41,0.02223,-0.002714481157398055
7.412,0.022236,-0.00268152427245379
7.414000000000001,0.022242,-0.0026468736793048607
7.416,0.022248,-0.0026105512640085798
7.418,0.022254,-0.002572579968580962
7.42,0.02226,-0.0025329837765060534
7.422000000000001,0.022266,-0.0024917876975874254
7.424,0.022272,-0.0024490177521515415
7.426,0.022278000000000003,-0.0024047009546126217
7.428,0.022284,-0.002358865296409878
7.43,0.02229,-0.0023115397283273924
7.432,0.022296000000000003,-0.002262754142208312
7.434,0.022302000000000002,-0.0022125393520745257
7.436,0.022308,-0.0021609270746637274
7.438,0.022314,-0.002107949909396558
7.44,0.022320000000000003,-0.0020536413177860494
7.442,0.022326000000000002,-0.001998035602302773
7.444,0.022332,-0.0019411678847083551
7.446,0.022338,-0.0018830740838721273
7.448,0.022344000000000003,-0.001823790893083813
7.45,0.022350000000000002,-0.0017633557568774198
7.452,0.022356,-0.0017018068473802735
7.454,0.022362,-0.0016391830402028155
7.456,0.022368000000000002,-0.0015755238898838995
7.458,0.022374,-0.0015108696049072991
7.46,0.02238,-0.0014452610223051666
7.462,0.022386,-0.0013787395818644888
7.464,0.022392000000000002,-0.00131134729995279
7.466,0.022398,-0.0012431267429798482
7.468,0.022404,-0.0011741210005116072
7.47,0.02241,-0.0011043736580540382
7.472,0.022416000000000002,-0.0010339287695235598
7.474,0.022422,-0.0009628308294216417
7.476,0.022428,-0.0008911247447311226
7.478,0.022434,-0.0008188558065519981
7.48,0.02244,-0.0007460696614945502
7.482,0.022446,-0.000672812282848134
7.484,0.022452,-0.0005991299415432159
7.486,0.022458,-0.0005250691769258276
7.488,0.022464,-0.0004506767673622753
7.49,0.02247,-0.0003759997006929215
7.492,0.022476,-0.0003010851445536582
7.494,0.022482,-0.00022598041658381635
7.496,0.022488,-0.00015073295453928902
7.498,0.022494,-7.539028632999745e-05
7.5,0.0225,-3.2338103265129185e-17
7.502,0.022505999999999998,7.539028632997542e-05
7.5040000000000004,0.022512,0.0001507329545393096
7.506,0.022518,0.00022598041658379437
7.508,0.022524,0.00030108514455363624
7.51,0.02253,0.0003759997006928997
7.5120000000000005,0.022536,0.0004506767673622957
7.514,0.022542,0.000525069176925806
7.516,0.022548000000000002,0.0005991299415431943
7.518,0.022554,0.0006728122828481125
7.5200000000000005,0.02256,0.0007460696614945702
7.522,0.022566000000000003,0.000818855806551977
7.524,0.022572000000000002,0.0008911247447311014
7.526,0.022578,0.0009628308294216208
7.5280000000000005,0.022584000000000003,0.0010339287695235392
7.53,0.022590000000000002,0.0011043736580540176
7.532,0.022596,0.0011741210005115868
7.534,0.022602,0.001243126742979828
7.5360000000000005,0.022608000000000003,0.0013113472999528087
7.538,0.022614000000000002,0.0013787395818644693
7.54,0.02262,0.0014452610223051473
7.542,0.022626,0.00151086960490728
7.5440000000000005,0.022632000000000003,0.0015755238898838805
7.546,0.022638000000000002,0.001639183040202797
7.548,0.022644,0.0017018068473802555
7.55,0.02265,0.0017633557568774018
7.5520000000000005,0.022656000000000003,0.0018237908930838292
7.554,0.022662,0.0018830740838721104
7.556,0.022668,0.001941167884708338
7.558,0.022674,0.0019980356023027563
7.5600000000000005,0.022680000000000002,0.002053641317786064
7.562,0.022686,0.0021079499093965425
7.564,0.022692,0.0021609270746637127
7.566,0.022698,0.0022125393520745105
7.5680000000000005,0.022704000000000002,0.0022627541422083255
7.57,0.02271,0.0023115397283273785
7.572,0.022716,0.002358865296409864
7.574,0.022722,0.0024047009546126086
7.5760000000000005,0.022728,0.0024490177521515537
7.578,0.022734,0.0024917876975874367
7.58,0.02274,0.0025329837765060417
7.582,0.022746,0.002572579968580951
7.5840000000000005,0.022752,0.00261055126400859
7.586,0.022758,0.00264687367930485
7.588,0.022764,0.00268152427245378
7.59,0.02277,0.002714481157398046
7.5920000000000005,0.022776,0.002745723517862756
7.594,0.022782,0.002775231620503375
7.596,0.022788,0.0028029868273698353
7.598,0.022794000000000002,0.0028289716076785915
7.6000000000000005,0.0228,0.0028531695488854575
7.602,0.022806,0.002875565367052123
7.604,0.022812000000000002,0.0028961449164998164
7.606,0.022818,0.002914895198744016
7.6080000000000005,0.022824,0.002931804370704583
7.61,0.022830000000000003,0.0029468617521860676
